composition,trial,time,acetate,biomass,butanol,butyrate,ethanol,flow rate,H2,CO,CO2,acetate_0,biomass_0,butanol_0,butyrate_0,ethanol_0
1,1,0.5800000000000001,21.61,0.41,0.04,0.06,10.94,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.6499999999999999,44.31,0.39,0.05,0.08,15.89,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.02,46.19,0.46,0.21,0.64,8.14,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.67,46.16,0.49,1.18,3.64,10.81,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,3.7,34.39,0.64,8.44,9.76,20.34,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,5.06,27.08,0.67,14.09,8.56,28.92,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,5.51,19.96,0.67,16.06,4.9,32.73,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,2,0.5800000000000001,22.98,0.38,0.39,0.06,11.18,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,0.6499999999999999,44.31,0.32,0.45,0.13,13.75,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,1.02,70.5,0.37,0.72,0.6,9.42,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,1.67,52.97,0.41,1.82,2.49,10.54,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,3.7,38.74,0.55,10.4,14.49,16.69,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,5.06,24.03,0.51,19.0,10.17,20.33,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,5.51,24.14,0.51,25.5,6.13,29.7,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
2,1,0.030000000000000027,15.16,0.32,0.07,0.26,21.44,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,0.6799999999999999,44.2,0.38,0.06,0.07,19.55,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,1.08,70.57,0.46,0.22,0.53,20.32,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,1.3399999999999999,77.14,0.49,0.52,1.3,21.78,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,2.69,85.58,0.56,1.47,3.04,32.77,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,3.5999999999999996,59.21,0.54,5.18,5.73,52.04,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,4.6,47.82,0.61,15.9,11.98,66.72,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,2,0.030000000000000027,14.38,0.35,0.08,0.08,24.82,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,0.6799999999999999,31.45,0.38,0.03,0.12,18.71,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,1.08,70.64,0.47,0.34,1.21,21.57,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,1.3399999999999999,63.87,0.52,0.92,2.37,23.31,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,2.69,67.0,0.56,1.75,3.4,26.64,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,3.5999999999999996,61.44,0.55,6.25,6.34,53.64,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,4.6,42.04,0.64,16.26,12.26,68.97,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
3,1,0.56,14.64,0.21,0.05,0.09,19.23,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,0.79,13.34,0.24,0.03,0.07,19.98,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,1.6400000000000001,81.51,0.35,0.05,0.12,13.24,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,1.7999999999999998,92.89,0.41,0.08,0.44,16.0,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,2.84,91.64,0.4,1.58,3.0,32.34,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,4.6,68.04,0.4,8.4,6.34,58.35,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,5.1,54.58,0.41,11.01,6.71,64.0,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,5.65,44.27,0.44,15.32,6.24,76.19,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,2,0.56,22.23,0.26,0.22,0.8,17.81,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,0.79,14.35,0.29,0.04,0.06,16.76,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,1.6400000000000001,82.63,0.39,0.16,0.59,20.67,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,1.7999999999999998,81.3,0.37,0.24,0.63,22.8,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,2.84,65.48,0.44,1.48,1.78,52.4,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,4.6,64.61,0.47,6.12,3.61,91.7,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,5.1,48.97,0.47,7.35,3.88,96.94,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,5.65,44.11,0.47,9.96,3.77,109.1,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
4,1,0.08000000000000007,8.94,0.26,0.08,0.19,15.4,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,0.5800000000000001,23.86,0.31,0.12,0.15,17.64,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,0.8,32.97,0.33,0.18,0.16,18.66,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,1.15,39.16,0.37,0.46,0.45,27.42,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,1.7000000000000002,36.96,0.41,1.57,0.92,40.96,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,1.83,31.14,0.37,1.99,1.23,47.66,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,2.79,19.49,0.37,3.55,0.9,64.16,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,2.92,17.79,0.34,3.68,1.48,63.97,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,5.05,25.71,0.27,3.71,0.67,61.53,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,2,0.08000000000000007,9.89,0.28,0.09,0.1,15.21,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,0.5800000000000001,29.96,0.32,0.08,0.09,14.15,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,0.8,33.96,0.31,0.08,0.12,16.0,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,1.15,49.23,0.38,0.5,0.72,23.63,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,1.7000000000000002,36.3,0.44,2.98,1.79,34.4,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,1.83,32.89,0.42,3.65,2.15,35.88,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,2.79,24.81,0.51,10.43,2.82,52.56,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,2.92,25.38,0.49,11.94,3.28,57.69,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,5.05,15.16,0.44,17.28,0.87,86.89,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
5,1,0.6699999999999999,18.41,0.28,0.04,0.49,5.72,5,0.125,0.5,0.375,6.726021719457051,0.32563800904977547,0.016166515837104163,0.11045067873303233,5.16381357466066
5,1,1.7000000000000002,34.82,0.33,0.34,8.67,1.07,5,0.125,0.5,0.375,6.726021719457051,0.32563800904977547,0.016166515837104163,0.11045067873303233,5.16381357466066
5,1,2.74,46.04,0.32,1.47,12.74,3.73,5,0.125,0.5,0.375,6.726021719457051,0.32563800904977547,0.016166515837104163,0.11045067873303233,5.16381357466066
5,1,4.61,43.16,0.29,3.63,10.72,9.19,5,0.125,0.5,0.375,6.726021719457051,0.32563800904977547,0.016166515837104163,0.11045067873303233,5.16381357466066
6,1,0.6100000000000001,18.41,0.24,0.05,0.49,5.76,5,0.313,0.5,0.188,8.843519457013622,0.2974977375565626,0.03128235294117664,0.17326968325791953,5.638690497737587
6,1,1.9300000000000002,34.82,0.31,0.35,8.67,1.26,5,0.313,0.5,0.188,8.843519457013622,0.2974977375565626,0.03128235294117664,0.17326968325791953,5.638690497737587
6,1,2.84,46.04,0.3,1.48,12.74,4.1,5,0.313,0.5,0.188,8.843519457013622,0.2974977375565626,0.03128235294117664,0.17326968325791953,5.638690497737587
6,1,4.54,54.81,0.31,4.56,12.77,13.3,5,0.313,0.5,0.188,8.843519457013622,0.2974977375565626,0.03128235294117664,0.17326968325791953,5.638690497737587
7,1,0.6499999999999999,58.14,0.39,0.0,11.75,3.48,20,0.0,0.5710000000000001,0.429,22.571815384615505,0.4074244343891424,0.0,6.557893212669717,6.470804524886912
7,1,1.75,57.29,0.5,2.02,15.06,6.3,20,0.0,0.5710000000000001,0.429,22.571815384615505,0.4074244343891424,0.0,6.557893212669717,6.470804524886912
7,1,3.58,56.61,0.45,9.31,15.67,24.63,20,0.0,0.5710000000000001,0.429,22.571815384615505,0.4074244343891424,0.0,6.557893212669717,6.470804524886912
7,1,4.79,50.51,0.52,10.72,13.1,38.5,20,0.0,0.5710000000000001,0.429,22.571815384615505,0.4074244343891424,0.0,6.557893212669717,6.470804524886912
8,1,0.625,29.474,1.12,0.135,0.34,13.241,20,0.8,0.2,0.0,19.340291402715035,1.0728045248868834,0.13440000000000074,0.31940180995475287,14.216557466063424
8,1,0.9650000000000001,36.635,1.18,0.405,1.135,16.930999999999997,20,0.8,0.2,0.0,19.340291402715035,1.0728045248868834,0.13440000000000074,0.31940180995475287,14.216557466063424
8,1,1.6630000000000003,36.968,1.51,1.889,2.156,30.823,20,0.8,0.2,0.0,19.340291402715035,1.0728045248868834,0.13440000000000074,0.31940180995475287,14.216557466063424
8,1,2.695,33.304,1.35,4.857,3.859,38.854,20,0.8,0.2,0.0,19.340291402715035,1.0728045248868834,0.13440000000000074,0.31940180995475287,14.216557466063424
8,1,3.965,29.808000000000003,1.22,4.047,4.994,21.923000000000002,20,0.8,0.2,0.0,19.340291402715035,1.0728045248868834,0.13440000000000074,0.31940180995475287,14.216557466063424
8,2,0.6950000000000001,38.134,1.31,0.27,1.3619999999999999,17.148,20,0.8,0.2,0.0,22.03940995475125,1.1965176470588297,0.17275113122172037,1.2126687782805492,14.017827149321342
8,2,0.9450000000000001,41.797,1.38,0.54,1.589,21.923000000000002,20,0.8,0.2,0.0,22.03940995475125,1.1965176470588297,0.17275113122172037,1.2126687782805492,14.017827149321342
8,2,1.83,42.463,1.61,1.619,1.589,49.056000000000004,20,0.8,0.2,0.0,22.03940995475125,1.1965176470588297,0.17275113122172037,1.2126687782805492,14.017827149321342
8,2,2.4760000000000004,29.141,1.89,4.1819999999999995,2.043,72.715,20,0.8,0.2,0.0,22.03940995475125,1.1965176470588297,0.17275113122172037,1.2126687782805492,14.017827149321342
8,2,3.9830000000000005,31.639,1.8,7.555,3.5180000000000002,68.59100000000001,20,0.8,0.2,0.0,22.03940995475125,1.1965176470588297,0.17275113122172037,1.2126687782805492,14.017827149321342
9,1,0.625,28.642,1.11,0.27,0.22699999999999998,14.325999999999999,10,0.8,0.2,0.0,11.888294117647124,1.0875755656108657,0.17515113122172038,0.2911384615384631,14.039095927601885
9,1,0.9650000000000001,40.631,1.35,0.405,1.3619999999999999,14.977,10,0.8,0.2,0.0,11.888294117647124,1.0875755656108657,0.17515113122172038,0.2911384615384631,14.039095927601885
9,1,1.6630000000000003,38.966,1.53,1.484,3.178,18.233,10,0.8,0.2,0.0,11.888294117647124,1.0875755656108657,0.17515113122172038,0.2911384615384631,14.039095927601885
9,1,2.695,37.134,1.54,4.317,1.475,48.405,10,0.8,0.2,0.0,11.888294117647124,1.0875755656108657,0.17515113122172038,0.2911384615384631,14.039095927601885
9,1,3.965,26.644000000000002,1.53,7.15,2.156,61.428000000000004,10,0.8,0.2,0.0,11.888294117647124,1.0875755656108657,0.17515113122172038,0.2911384615384631,14.039095927601885
9,2,0.6599999999999999,23.646,1.05,0.135,0.9079999999999999,14.977,10,0.8,0.2,0.0,16.428428959276108,1.1003927601810013,0.1158244343891409,1.081616289592766,15.64801900452497
9,2,1.0,32.971,1.27,0.27,1.135,19.753,10,0.8,0.2,0.0,16.428428959276108,1.1003927601810013,0.1158244343891409,1.081616289592766,15.64801900452497
9,2,1.7080000000000002,47.792,1.53,0.9440000000000001,2.61,28.869,10,0.8,0.2,0.0,16.428428959276108,1.1003927601810013,0.1158244343891409,1.081616289592766,15.64801900452497
9,2,2.6839999999999997,43.29600000000001,1.87,4.1819999999999995,4.313,46.016999999999996,10,0.8,0.2,0.0,16.428428959276108,1.1003927601810013,0.1158244343891409,1.081616289592766,15.64801900452497
9,2,4.0,25.811,2.02,11.198,2.7239999999999998,74.018,10,0.8,0.2,0.0,16.428428959276108,1.1003927601810013,0.1158244343891409,1.081616289592766,15.64801900452497
10,1,0.72,66.942,1.15,1.754,7.4910000000000005,9.551,1,0.8,0.2,0.0,37.8718443438916,1.2367285067873368,1.2003330316742145,3.6661438914027347,12.956310407239886
10,1,2.403,44.295,1.44,1.619,6.129,6.946000000000001,1,0.8,0.2,0.0,37.8718443438916,1.2367285067873368,1.2003330316742145,3.6661438914027347,12.956310407239886
10,1,2.637,65.61,1.25,1.349,8.512,5.4270000000000005,1,0.8,0.2,0.0,37.8718443438916,1.2367285067873368,1.2003330316742145,3.6661438914027347,12.956310407239886
10,1,3.643,46.793,1.45,5.936,12.257,18.016,1,0.8,0.2,0.0,37.8718443438916,1.2367285067873368,1.2003330316742145,3.6661438914027347,12.956310407239886
10,1,6.664,33.304,1.43,14.030999999999999,9.42,33.644,1,0.8,0.2,0.0,37.8718443438916,1.2367285067873368,1.2003330316742145,3.6661438914027347,12.956310407239886
10,1,7.57,29.641,1.35,14.841,8.058,36.683,1,0.8,0.2,0.0,37.8718443438916,1.2367285067873368,1.2003330316742145,3.6661438914027347,12.956310407239886
10,2,0.72,52.95399999999999,1.09,0.9440000000000001,5.221,3.0389999999999997,1,0.8,0.2,0.0,29.52173031674224,1.1896651583710471,1.026115837104078,3.1335773755656273,14.453932126696907
10,2,2.403,58.61600000000001,1.32,0.9440000000000001,6.015,3.4730000000000003,1,0.8,0.2,0.0,29.52173031674224,1.1896651583710471,1.026115837104078,3.1335773755656273,14.453932126696907
10,2,2.637,59.448,1.11,3.508,11.69,13.675,1,0.8,0.2,0.0,29.52173031674224,1.1896651583710471,1.026115837104078,3.1335773755656273,14.453932126696907
10,2,3.643,65.943,1.44,2.1590000000000003,10.895,8.682,1,0.8,0.2,0.0,29.52173031674224,1.1896651583710471,1.026115837104078,3.1335773755656273,14.453932126696907
10,2,6.664,50.456,1.47,3.6430000000000002,11.575999999999999,11.07,1,0.8,0.2,0.0,29.52173031674224,1.1896651583710471,1.026115837104078,3.1335773755656273,14.453932126696907
10,2,7.57,48.125,1.51,4.857,12.370999999999999,13.675,1,0.8,0.2,0.0,29.52173031674224,1.1896651583710471,1.026115837104078,3.1335773755656273,14.453932126696907
